symbol,n,avg_bp,sum_usd,win_pct
SYRUP,118,26.09,61.85,93.2
INIT,238,25.54,136.05,89.5
XLM,37,24.94,21.87,78.4
SOLV,473,24.060000000000002,234.51,86.9
TRB,103,23.98,55.95,78.60000000000001
VTHO,35,23.34,17.26,94.30000000000001
2Z,145,23.31,79.37,90.30000000000001
CYBER,76,23.09,43.56,89.5
EDEN,670,22.6,306.41,82.80000000000001
ALT,185,22.27,111.87,85.4
RPL,117,22.27,61.27,84.60000000000001
AT,433,22.09,178.66,82.7
USTC,439,22.04,187.4,84.30000000000001
ASTR,63,21.830000000000002,34.84,85.7
NIL,625,21.77,295.02,82.60000000000001
TWT,125,21.73,60.33,87.2
DOLO,296,21.48,115.96000000000001,86.10000000000001
CELO,70,21.46,31.94,91.4
MORPHO,227,21.43,123.24000000000001,91.60000000000001
B2,304,21.34,137.9,79.60000000000001
SCR,285,21.32,127.10000000000001,83.9
ZKC,198,21.22,74.49,83.80000000000001
LISTA,578,20.89,275.89,81.30000000000001
ID,111,20.69,59.84,86.5
SHELL,493,20.64,255.85,83.60000000000001
EPIC,574,20.59,197.72,85.9
ACH,85,20.56,35.78,88.2
GMX,126,20.51,59.6,89.7
MANTA,66,20.36,26.79,87.9
G,49,20.23,22.39,83.7
HOME,343,20.18,177.49,85.7
PIXEL,430,20.12,154.69,81.4
LQTY,126,20.04,62.28,84.9
MIRA,187,20.01,69.47,89.30000000000001
PARTI,479,19.97,221.93,79.7
BRETT,464,19.76,202.20000000000002,78.9
MITO,442,19.650000000000002,186.19,78.10000000000001
TURTLE,643,19.6,271.26,84.80000000000001
LUMIA,849,19.59,398.04,83.9
FRAX,235,19.41,120.16,85.5
ZKP,178,19.34,73.43,89.9
CATI,329,19.27,117.54,86.0
XVS,52,19.240000000000002,22.5,82.7
F,80,19.240000000000002,24.16,87.5
FOGO,194,19.14,84.74,74.7
ILV,129,19.080000000000002,56.47,87.60000000000001
AAVE,247,19.05,110.86,89.10000000000001
CAKE,85,18.98,28.21,94.10000000000001
ONG,251,18.86,95.74000000000001,82.9
SQD,312,18.85,127.08,80.4
BANANA,132,18.85,65.35,80.30000000000001
REZ,290,18.84,124.01,82.4
CGPT,343,18.76,140.34,79.9
ESP,171,18.73,65.81,86.0
AVAX,33,18.73,16.78,78.80000000000001
SKY,120,18.73,58.730000000000004,92.5
LINEA,50,18.72,22.34,92.0
AWE,77,18.67,37.95,71.4
NIGHT,145,18.650000000000002,57.28,86.9
AKT,242,18.6,91.66,84.30000000000001
SSV,291,18.6,152.76,81.4
ALPINE,160,18.55,62.85,85.0
RESOLV,478,18.490000000000002,165.96,80.80000000000001
RUNE,164,18.47,89.94,90.9
BANK,1106,18.38,464.1,81.60000000000001
A,101,18.35,46.19,90.10000000000001
ASTER,34,18.27,12.17,100.0
MON,654,18.12,256.48,87.30000000000001
TNSR,167,18.04,65.38,84.4
KITE,261,17.89,102.98,87.4
AVA,263,17.85,123.03,84.80000000000001
SCRT,805,17.62,389.65000000000003,80.7
JELLYJELLY,318,17.580000000000002,105.12,83.30000000000001
SOPH,63,17.41,21.44,87.30000000000001
ANKR,35,17.35,13.52,88.60000000000001
PHA,284,17.3,109.0,82.0
DEGO,909,17.17,429.32,73.4
MASK,123,17.12,47.63,86.2
ELSA,433,17.09,141.16,78.30000000000001
TOWNS,574,16.96,189.83,82.4
HYPE,79,16.94,32.35,84.80000000000001
SONIC,176,16.9,58.57,92.60000000000001
BTR,1672,16.79,672.14,75.4
APE,61,16.77,27.650000000000002,59.0
BIRB,336,16.740000000000002,145.11,77.7
BABY,275,16.72,103.51,69.10000000000001
BICO,371,16.64,151.3,81.7
SOMI,84,16.54,25.11,84.5
GLM,57,16.52,21.3,84.2
PENDLE,130,16.5,56.730000000000004,83.10000000000001
SPELL,47,16.47,16.94,68.10000000000001
CLANKER,215,16.16,66.6,79.5
WAL,53,16.09,23.62,79.2
SPACE,734,16.06,268.99,82.0
CFX,74,15.92,29.53,81.10000000000001
DOGE,51,15.9,18.92,84.30000000000001
ZRO,407,15.89,173.53,82.60000000000001
DEEP,148,15.74,52.050000000000004,77.7
OPN,480,15.72,175.82,75.8
FHE,1344,15.69,389.74,71.7
SAPIEN,1024,15.67,428.37,76.5
CHZ,395,15.67,149.91,85.60000000000001
FIO,1368,15.64,396.88,73.60000000000001
AIXBT,213,15.58,73.52,82.60000000000001
US,1572,15.530000000000001,417.33,74.3
HAEDAL,787,15.5,305.21,77.5
FF,297,15.41,85.24,83.5
COS,197,15.39,73.32000000000001,71.60000000000001
ALLO,1407,15.370000000000001,530.44,75.2
PYTH,162,15.36,54.52,79.0
AR,162,15.35,53.86,79.60000000000001
METIS,648,15.21,266.13,81.0
SAGA,529,15.17,219.96,73.2
MAGIC,59,15.09,13.11,69.5
MAV,447,14.94,152.28,71.60000000000001
ICNT,1892,14.93,530.3,72.4
VELODROME,376,14.93,120.23,70.5
ETHFI,57,14.870000000000001,16.93,84.2
HUMA,1183,14.86,422.83,77.60000000000001
EUL,2359,14.85,829.14,75.9
THE,264,14.790000000000001,95.2,69.3
CROSS,1576,14.780000000000001,540.7,73.9
MANTRA,48,14.75,12.56,60.400000000000006
LAYER,55,14.74,16.06,81.80000000000001
LIT,755,14.72,200.85,84.5
KAS,65,14.68,23.05,86.2
THETA,153,14.64,59.85,75.8
KAITO,196,14.61,52.33,85.7
SIGN,633,14.6,159.96,79.80000000000001
POLYX,195,14.540000000000001,54.410000000000004,85.10000000000001
SAHARA,60,14.48,17.14,86.7
TAO,103,14.46,27.25,82.5
KMNO,264,14.43,94.10000000000001,78.80000000000001
AEVO,98,14.43,36.15,76.5
VVV,877,14.39,266.12,81.4
FORM,1691,14.35,460.75,67.9
NOM,1116,14.35,325.77,77.4
VIC,331,14.32,122.32000000000001,75.2
YGG,49,14.27,13.92,73.5
BARD,76,14.27,22.13,89.5
WLD,161,14.26,44.47,84.5
4,4245,14.25,1195.91,72.2
CVC,33,14.200000000000001,12.06,84.80000000000001
ACT,670,14.19,188.04,73.4
HMSTR,184,14.120000000000001,53.9,70.10000000000001
TRIA,4125,14.06,1122.1100000000001,74.9
S,74,14.05,25.12,75.7
PROVE,64,14.040000000000001,24.43,84.4
JOE,820,14.02,225.79,76.3
GRASS,1010,13.91,347.29,77.2
TRUMP,49,13.91,15.97,83.7
0G,285,13.89,68.53,80.7
POPCAT,190,13.870000000000001,68.3,77.4
B3,783,13.86,282.24,71.8
USELESS,1213,13.81,329.36,80.2
AERO,229,13.76,79.41,86.0
COLLECT,4859,13.72,1409.71,65.60000000000001
AVAAI,2867,13.71,819.64,64.2
TOSHI,96,13.71,32.47,68.8
TA,827,13.700000000000001,300.48,71.8
VANRY,79,13.68,23.38,77.2
SUI,34,13.66,12.65,82.4
DOT,45,13.59,10.26,82.2
CARV,190,13.56,65.74,73.7
ZEC,370,13.450000000000001,114.77,75.4
C,2095,13.36,546.1800000000001,74.8
AGLD,132,13.34,29.47,69.7
TAG,1739,13.32,430.12,64.3
VINE,212,13.21,72.17,74.5
ALGO,65,13.15,17.35,70.8
IMX,138,13.14,39.24,72.5
OXT,50,13.11,10.74,64.0
XNY,6790,13.05,1827.8500000000001,66.5
POL,32,13.02,12.46,75.0
STG,284,13.0,81.37,75.7
BIGTIME,73,12.97,12.68,60.300000000000004
USUAL,175,12.93,58.35,69.7
ARB,44,12.92,13.47,72.7
ESPORTS,1228,12.86,394.67,74.7
MEW,161,12.85,53.58,78.30000000000001
NFP,120,12.700000000000001,36.61,76.7
ROBO,621,12.69,163.66,74.7
ARC,916,12.66,190.92000000000002,66.2
IO,191,12.65,57.660000000000004,65.4
HFT,232,12.57,71.95,69.4
LA,78,12.48,17.27,73.10000000000001
DYM,530,12.43,106.9,71.10000000000001
BEAT,3733,12.4,1007.15,77.10000000000001
NOT,129,12.370000000000001,38.86,85.30000000000001
CETUS,928,12.36,323.06,69.9
MOODENG,230,12.280000000000001,77.71000000000001,84.30000000000001
SEI,35,12.280000000000001,12.84,85.7
AI,106,12.280000000000001,33.3,78.30000000000001
LDO,437,12.26,117.64,84.7
GMT,37,12.25,11.63,64.9
TUT,1481,12.24,361.16,64.3
BMT,340,12.21,110.25,65.60000000000001
TURBO,324,12.15,60.06,75.60000000000001
YB,657,12.06,156.93,64.10000000000001
COOKIE,182,11.89,42.46,77.5
SENT,447,11.82,140.83,70.7
CFG,1064,11.81,319.07,73.60000000000001
PROMPT,712,11.78,171.86,72.9
DEGEN,759,11.58,240.11,63.400000000000006
ACU,2921,11.540000000000001,708.99,69.7
FLOCK,1632,11.53,387.19,69.2
POWER,1396,11.5,342.62,70.60000000000001
IP,123,11.4,35.82,83.7
PENGU,235,11.31,69.06,80.9
FOLKS,5022,11.28,1083.85,60.900000000000006
DOOD,512,11.28,119.87,70.7
BAND,86,11.21,25.86,77.9
ENA,181,11.1,44.01,78.5
ERA,149,10.950000000000001,35.44,61.1
CTK,92,10.73,21.32,64.10000000000001
ACE,315,10.73,78.96000000000001,59.0
ARPA,141,10.71,39.67,62.400000000000006
SUSHI,57,10.71,18.13,73.7
WOO,92,10.44,19.48,75.0
VIRTUAL,60,10.4,14.36,71.7
NEWT,1637,10.39,408.39,65.5
TON,41,10.38,9.78,73.2
PIPPIN,1089,10.33,234.89000000000001,70.0
GOAT,364,10.27,78.23,69.5
EIGEN,144,10.25,38.1,66.7
MERL,3683,10.25,854.08,69.8
KERNEL,1024,10.25,276.71,67.5
FARTCOIN,461,10.23,97.94,75.5
ZRX,76,10.17,19.98,64.5
EDGE,1636,10.16,403.95,73.9
XAI,147,10.11,31.17,61.2
SOON,1672,10.08,360.66,68.9
FIDA,338,10.05,52.06,66.60000000000001
MBOX,1533,10.040000000000001,264.06,59.400000000000006
JST,441,10.03,112.73,56.7
PUNDIX,41,9.94,11.51,68.3
MUBARAK,1344,9.870000000000001,242.67000000000002,64.10000000000001
APT,59,9.82,13.030000000000001,81.4
CYS,5456,9.77,1039.72,70.0
TIA,61,9.76,16.740000000000002,75.4
STRK,607,9.67,168.17000000000002,74.3
IR,3456,9.59,750.76,62.1
INJ,37,9.57,5.47,73.0
JCT,5055,9.47,1173.07,64.8
BSV,39,9.22,7.45,66.7
BANANAS31,1127,9.16,236.81,64.0
DEXE,3637,9.16,820.59,62.7
AVNT,245,9.14,66.86,60.800000000000004
ASR,234,9.09,44.68,62.0
NXPC,68,8.98,15.84,72.10000000000001
BOB,3464,8.97,568.8100000000001,61.2
H,2096,8.9,471.71000000000004,69.3
ATH,240,8.89,41.5,72.5
API3,252,8.89,66.47,72.60000000000001
COMP,348,8.870000000000001,67.91,64.10000000000001
ZEREBRO,4902,8.81,1030.91,57.900000000000006
WCT,780,8.78,108.61,70.10000000000001
MOVE,170,8.74,43.01,75.3
PROM,5554,8.73,1145.21,61.0
IRYS,7082,8.700000000000001,1370.15,64.9
ADA,34,8.69,7.43,64.7
VELVET,4810,8.61,1003.21,62.1
W,102,8.56,19.0,58.800000000000004
STORJ,43,8.55,6.13,60.5
ONT,191,8.51,37.34,55.0
CHILLGUY,2654,8.5,530.26,64.7
MOCA,56,8.370000000000001,9.92,62.5
SAFE,318,8.33,54.550000000000004,59.7
STO,2165,8.3,365.77,64.3
PNUT,830,8.290000000000001,183.01,68.9
BB,2024,8.27,384.15000000000003,62.400000000000006
ZETA,112,8.27,24.54,75.0
GUA,7116,8.14,1386.4,57.400000000000006
ARKM,153,8.11,38.01,58.800000000000004
GIGGLE,8797,8.02,1221.44,63.300000000000004
ETHW,460,7.95,74.71000000000001,63.5
BAN,4821,7.890000000000001,779.0,63.800000000000004
XPL,213,7.890000000000001,32.480000000000004,60.6
OG,2221,7.87,205.68,62.400000000000006
NAORIS,5618,7.83,1064.49,59.800000000000004
GENIUS,727,7.69,158.61,85.0
RARE,1626,7.65,358.97,63.300000000000004
HEMI,2503,7.54,427.74,58.6
TREE,1986,7.51,292.61,63.900000000000006
MEME,654,7.47,144.0,64.7
ZORA,35,7.45,7.0,57.1
MMT,803,7.29,115.99000000000001,62.0
CC,548,7.22,73.0,68.8
GWEI,6278,7.0600000000000005,1141.77,58.1
HIGH,7383,6.8,1446.05,63.5
OPEN,1164,6.78,172.43,60.900000000000006
RED,1777,6.7700000000000005,138.76,60.900000000000006
ZK,53,6.73,9.22,66.0
ENSO,221,6.7,25.42,64.3
EGLD,43,6.41,5.34,72.10000000000001
JTO,537,6.390000000000001,80.08,67.0
UNI,37,6.37,5.0600000000000005,70.3
BLUR,2654,6.36,448.2,68.7
MAGMA,5304,6.29,721.1,58.2
STX,37,6.2700000000000005,2.68,67.60000000000001
UAI,9123,6.26,1408.96,59.5
FLUID,1068,6.16,182.3,63.300000000000004
VANA,101,6.13,14.9,60.400000000000006
WIF,62,6.07,8.81,69.4
ATOM,33,6.0600000000000005,4.96,63.6
ORDI,3557,6.04,487.54,64.2
BNT,410,5.98,67.26,56.800000000000004
ETH,53,5.72,6.63,84.9
RENDER,39,5.55,5.37,61.5
ALCH,1999,5.53,199.59,55.1
FIGHT,8098,5.34,873.63,57.400000000000006
BASED,8355,5.32,1303.02,58.400000000000006
ZAMA,5013,5.2,494.82,58.400000000000006
TRUST,2716,4.95,191.15,57.0
MET,2534,4.88,350.95,59.0
INX,8279,4.57,724.32,55.1
BOME,3162,4.16,387.32,57.1
AZTEC,118,3.44,5.99,61.900000000000006
STABLE,4134,3.25,261.65,57.5
SPK,9151,3.16,810.4,55.5
BIO,5288,3.04,401.8,55.300000000000004
